id,latitude,longitude,city
129.0,37.758862,-122.412544,San Francisco
305.0,37.342725,-121.89561699999999,San Jose
144.0,37.747299600000005,-122.41140290000001,San Francisco
253.0,37.86641794050319,-122.25379943847656,Berkeley
267.0,37.8618037,-122.25356869999999,Berkeley
137.0,37.750506,-122.4339496,San Francisco
95.0,37.7662185,-122.4310597,San Francisco
183.0,37.8087021,-122.26992709999999,Oakland
209.0,37.83355770000001,-122.2674183,Emeryville
5.0,37.78389935708493,-122.40844488143921,San Francisco
176.0,37.82840997305853,-122.26631462574005,Oakland
192.0,37.82669558640968,-122.27179706096649,Emeryville
136.0,37.7544356,-122.40436389999999,San Francisco
360.0,37.738571871267254,-122.38961778581141,San Francisco
33.0,37.7816495,-122.4154077,San Francisco
4.0,37.78588062694133,-122.4089150084319,San Francisco
